iter	Passed	Remaining
894	8373	982
895	8379	972
896	8390	963
897	8395	953
898	8406	944
899	8411	934
900	8422	925
901	8430	915
902	8440	906
903	8453	897
904	8461	888
905	8475	879
906	8488	870
907	8503	861
908	8510	851
909	8521	842
910	8528	833
911	8539	823
912	8552	814
913	8557	805
914	8569	796
915	8575	786
916	8587	777
917	8592	767
918	8603	758
919	8609	748
920	8620	739
921	8627	729
922	8638	720
923	8651	711
924	8657	701
925	8668	692
926	8680	683
927	8688	674
928	8698	664
929	8704	655
930	8713	645
931	8720	636
932	8732	627
933	8740	617
934	8752	608
935	8765	599
936	8773	589
937	8784	580
938	8789	571
939	8801	561
940	8807	552
941	8816	542
942	8823	533
943	8833	524
944	8842	514
945	8853	505
946	8864	496
947	8870	486
948	8879	477
949	8886	467
950	8896	458
951	8902	448
952	8909	439
953	8918	430
954	8927	420
955	8937	411
956	8949	402
957	8959	392
958	8966	383
959	8977	374
960	8983	364
961	8992	355
962	9000	345
963	9009	336
964	9016	327
965	9025	317
966	9038	308
967	9048	299
968	9058	289
969	9064	280
970	9076	271
971	9085	261
972	9097	252
973	9107	243
974	9116	233
975	9127	224
976	9134	215
977	9143	205
978	9150	196
979	9162	186
980	9173	177
981	9183	168
982	9196	159
983	9205	149
984	9214	140
985	9222	130
986	9230	121
987	9240	112
988	9247	102
989	9256	93
990	9263	84
991	9273	74
992	9278	65
993	9288	56
994	9296	46
995	9306	37
996	9315	28
997	9325	18
998	9333	9
999	9342	0
